Name,Bedroom,Bathrooms,Living space,Price
"Hotel in Cala De San Vicente Ibiza, Ibiza, Spain 2036 sq.m. No. 20832",N/A,N/A,2036,€ 20000000
"Commercial property in San Antonio De Portmany, Ibiza, Spain 80 bedrooms, 5000 sq.m. No. 30875",Bedrooms: 80,Bathrooms: 80,5000,€ 22000000
"Penthouse in Talamanca, Ibiza, Spain 2 bedrooms, 129 sq.m. No. 30835",Bedrooms: 2,Bathrooms: 2,129,€ 950000
"Duplex in Talamanca, Ibiza, Spain 2 bedrooms, 92 sq.m. No. 30823",Bedrooms: 2,Bathrooms: 1,92,€ 550000
"Apartment in Sant Josep de sa Talaia, Ibiza, Spain 2 bedrooms,  No. 30890",Bedrooms: 2,Bathrooms: 2,N/A,€ 255000
"Apartment in Ibiza town, Ibiza, Spain 2 bedrooms, 117 sq.m. No. 30896",Bedrooms: 2,Bathrooms: 2,117,€ 790000
"Apartment in Ibiza town, Ibiza, Spain 1 bedroom, 58 sq.m. No. 30836",Bedrooms: 1,Bathrooms: 1,58,€ 188000
"Commercial property in Sant Josep de sa Talaia, Ibiza, Spain 330 sq.m. No. 30845",N/A,N/A,330,€ 3200000
"Villa in Sant Josep de sa Talaia, Ibiza, Spain 4 bedrooms, 500 sq.m. No. 30798",Bedrooms: 4,Bathrooms: 5,500,€ 1650000
"Penthouse in Ibiza town, Ibiza, Spain 2 bedrooms, 293 sq.m. No. 30842",Bedrooms: 2,Bathrooms: 3,293,€ 1590000
"Apartment in Ibiza town, Ibiza, Spain 3 bedrooms, 145 sq.m. No. 30893",Bedrooms: 3,Bathrooms: 2,145,€ 840000
"Apartment in Ibiza town, Ibiza, Spain 3 bedrooms,  No. 30891",Bedrooms: 3,Bathrooms: 2,N/A,€ 385000
"Apartment in Ibiza town, Ibiza, Spain 4 bedrooms, 245 sq.m. No. 30870",Bedrooms: 4,Bathrooms: 3,245,€ 1590000
"Apartment in Sant Josep de sa Talaia, Ibiza, Spain 12 bedrooms, 625 sq.m. No. 30796",Bedrooms: 12,Bathrooms: 12,625,€ 3200000
"Apartment in Talamanca, Ibiza, Spain 3 bedrooms, 100 sq.m. No. 30856",Bedrooms: 3,Bathrooms: 2,100,€ 550000
"Villa in Cap Martinet, Ibiza, Spain 5 bedrooms, 420 sq.m. No. 30808",Bedrooms: 5,Bathrooms: 5,420,€ 3500000
"Apartment in San Antonio De Portmany, Ibiza, Spain 2 bedrooms, 65 sq.m. No. 30857",Bedrooms: 2,Bathrooms: 2,65,€ 205000
"Villa in San Rafael, Ibiza, Spain 5 bedrooms, 400 sq.m. No. 30832",Bedrooms: 5,Bathrooms: 5,400,€ 2400000
"Villa in Ibiza town, Ibiza, Spain 9 bedrooms, 4200 sq.m. No. 38218",Bedrooms: 9,Bathrooms: 9,4200,€ 43000000
"Land plot in San Jordi De Ses Salines, Ibiza, Spain 5 bedrooms, 2050 sq.m. No. 30795",Bedrooms: 5,Bathrooms: 5,2050,€ 510000
"House in Cala de Bou, Ibiza, Spain 4 bedrooms, 130 sq.m. No. 30841",Bedrooms: 4,Bathrooms: 2,130,€ 445000
"Villa in Santa Eulalia Del Rio, Ibiza, Spain 5 bedrooms, 268 sq.m. No. 30859",Bedrooms: 5,Bathrooms: 5,268,€ 1400000
"Apartment in Ibiza town, Ibiza, Spain 2 bedrooms, 180 sq.m. No. 30833",Bedrooms: 2,Bathrooms: 2,180,€ 420000
"Villa in Port Des Torrent, Ibiza, Spain 4 bedrooms, 372 sq.m. No. 30797",Bedrooms: 4,Bathrooms: 3,372,€ 1950000
"Apartment in San Antonio De Portmany, Ibiza, Spain 3 bedrooms, 112 sq.m. No. 30834",Bedrooms: 3,Bathrooms: 2,112,€ 265000
"Apartment in San Antonio De Portmany, Ibiza, Spain 1 bedroom, 71 sq.m. No. 36026",Bedrooms: 1,Bathrooms: 2,71,€ 250000
"House in Ibiza town, Ibiza, Spain 4 bedrooms, 280 sq.m. No. 30894",Bedrooms: 4,Bathrooms: 2,280,€ 1300000
"Apartment in Ibiza town, Ibiza, Spain 4 bedrooms, 171 sq.m. No. 30804",Bedrooms: 4,Bathrooms: 2,171,€ 580000
"House in San Antonio De Portmany, Ibiza, Spain 3 bedrooms, 130 sq.m. No. 30852",Bedrooms: 3,Bathrooms: 2,130,€ 425000
"Villa in Ibiza town, Ibiza, Spain 9 bedrooms, 800 sq.m. No. 38231",Bedrooms: 9,Bathrooms: 10,800,€ 14000000
"Villa in Santa Gertrudis De Fruitera, Ibiza, Spain 6 bedrooms, 280 sq.m. No. 30895",Bedrooms: 6,Bathrooms: 3,280,€ 1380000
"Land plot in Sant Josep de sa Talaia, Ibiza, Spain 6 bedrooms, 30000 sq.m. No. 30830",Bedrooms: 6,Bathrooms: 7,30000,€ 1500000
"Villa in Santa Eulalia Del Rio, Ibiza, Spain 4 bedrooms, 465 sq.m. No. 30793",Bedrooms: 4,Bathrooms: 5,465,€ 3100000
"Villa in San Jordi De Ses Salines, Ibiza, Spain 3 bedrooms, 200 sq.m. No. 30867",Bedrooms: 3,Bathrooms: 3,200,€ 995000
"Villa in Santa Eulalia Del Rio, Ibiza, Spain 4 bedrooms, 676 sq.m. No. 30787",Bedrooms: 4,Bathrooms: 6,676,€ 3500000
"Apartment in Ibiza town, Ibiza, Spain 3 bedrooms, 134 sq.m. No. 30844",Bedrooms: 3,Bathrooms: 3,134,€ 1690000
"Villa in San Antonio De Portmany, Ibiza, Spain 5 bedrooms, 282 sq.m. No. 30861",Bedrooms: 5,Bathrooms: 5,282,€ 1850000
"Apartment in Ibiza town, Ibiza, Spain 2 bedrooms, 107 sq.m. No. 30869",Bedrooms: 2,Bathrooms: 2,107,€ 495000
"Villa in Jesus, Ibiza, Spain 3 bedrooms, 145 sq.m. No. 30810",Bedrooms: 3,Bathrooms: 2,145,€ 900000
"Land plot in San Antonio De Portmany, Ibiza, Spain 850 sq.m. No. 30809",N/A,N/A,850,€ 800000
"Villa in Jesus, Ibiza, Spain 3 bedrooms, 184 sq.m. No. 30826",Bedrooms: 3,Bathrooms: 1,184,€ 1050000
"Villa in Ibiza town, Ibiza, Spain 7 bedrooms, 640 sq.m. No. 38220",Bedrooms: 7,Bathrooms: 7,640,€ 26000000
"Villa on Ibiza, Spain 4 bedrooms, 132 sq.m. No. 45305",Bedrooms: 4,Bathrooms: 2,132,€ 990000
"Apartment in Ibiza town, Ibiza, Spain 3 bedrooms, 125 sq.m. No. 30843",Bedrooms: 3,Bathrooms: 2,125,€ 1200000
"Villa in Sant Joan de Labritja, Ibiza, Spain 4 bedrooms, 187 sq.m. No. 30864",Bedrooms: 4,Bathrooms: 1,187,€ 1300000
"Villa in Santa Eulalia Del Rio, Ibiza, Spain 4 bedrooms, 510 sq.m. No. 30792",Bedrooms: 4,Bathrooms: 6,510,€ 3100000
"Apartment in Ibiza town, Ibiza, Spain 2 bedrooms, 94 sq.m. No. 30820",Bedrooms: 2,Bathrooms: 2,94,€ 830000
"Villa in Ibiza town, Ibiza, Spain 5 bedrooms, 275 sq.m. No. 30831",Bedrooms: 5,Bathrooms: 5,275,€ 1396000
"Villa in Santa Gertrudis De Fruitera, Ibiza, Spain 5 bedrooms, 500 sq.m. No. 30865",Bedrooms: 5,Bathrooms: 3,500,€ 1800000
"Apartment in Ibiza town, Ibiza, Spain 3 bedrooms, 107 sq.m. No. 30829",Bedrooms: 3,Bathrooms: 1,107,€ 850000
"Apartment in Talamanca, Ibiza, Spain 3 bedrooms, 100 sq.m. No. 30855",Bedrooms: 3,Bathrooms: 2,100,€ 550000
"Apartment in Ibiza town, Ibiza, Spain 2 bedrooms, 60 sq.m. No. 36027",Bedrooms: 2,Bathrooms: 1,60,€ 405000
"Villa in Santa Eulalia Del Rio, Ibiza, Spain 11 bedrooms, 710 sq.m. No. 30811",Bedrooms: 11,Bathrooms: 8,710,€ 3000000
"Villa in Sant Agusti des Vedra, Ibiza, Spain 3 bedrooms, 173 sq.m. No. 30824",Bedrooms: 3,Bathrooms: 3,173,€ 1100000
"Land plot in Jesus, Ibiza, Spain 4 bedrooms, 1475 sq.m. No. 30886",Bedrooms: 4,Bathrooms: 3,1475,€ 1175000
"Villa in Santa Eulalia Del Rio, Ibiza, Spain 5 bedrooms, 688 sq.m. No. 30789",Bedrooms: 5,Bathrooms: 5,688,€ 3300000
"Villa in Sant Agusti des Vedra, Ibiza, Spain 3 bedrooms, 200 sq.m. No. 30806",Bedrooms: 3,Bathrooms: 4,200,€ 1570000
"Villa in Santa Eulalia Del Rio, Ibiza, Spain 4 bedrooms, 650 sq.m. No. 30786",Bedrooms: 4,Bathrooms: 4,650,€ 2500000
"Villa on Ibiza, Spain 5 bedrooms, 421 sq.m. No. 45318",Bedrooms: 5,Bathrooms: 5,421,€ 2550000
"Land plot in Cap Martinet, Ibiza, Spain 5 bedrooms, 810 sq.m. No. 30807",Bedrooms: 5,Bathrooms: 5,810,€ 1800000
"Villa in Ibiza town, Ibiza, Spain 9 bedrooms, 635 sq.m. No. 38219",Bedrooms: 9,Bathrooms: 9,635,€ 6300000
"Land plot in Sant Josep de sa Talaia, Ibiza, Spain 48 bedrooms, 5427 sq.m. No. 30794",Bedrooms: 48,Bathrooms: 39,5427,€ 2050000
"Villa in Santa Eulalia Del Rio, Ibiza, Spain 4 bedrooms, 475 sq.m. No. 30791",Bedrooms: 4,Bathrooms: 5,475,€ 3100000
"Land plot in Santa Gertrudis De Fruitera, Ibiza, Spain 5 bedrooms, 80000 sq.m. No. 30887",Bedrooms: 5,Bathrooms: 5,80000,€ 2415000
"House in Talamanca, Ibiza, Spain 4 bedrooms, 200 sq.m. No. 30862",Bedrooms: 4,Bathrooms: 4,200,€ 1750000
"Villa on Ibiza, Spain 7 bedrooms, 278 sq.m. No. 45312",Bedrooms: 7,Bathrooms: 3,278,€ 1500000
"Villa in Sa Carroca, Ibiza, Spain 4 bedrooms, 250 sq.m. No. 30860",Bedrooms: 4,Bathrooms: 3,250,€ 1590000
"Villa in Santa Eulalia Del Rio, Ibiza, Spain 7 bedrooms, 650 sq.m. No. 30812",Bedrooms: 7,Bathrooms: 6,650,€ 5500000
"Villa on Ibiza, Spain 4 bedrooms, 302 sq.m. No. 45315",Bedrooms: 4,Bathrooms: 3,302,€ 1575000
"Villa in Ibiza town, Ibiza, Spain 5 bedrooms, 562 sq.m. No. 38232",Bedrooms: 5,Bathrooms: 5,562,€ 8500000
"Villa in Ibiza town, Ibiza, Spain 9 bedrooms, 800 sq.m. No. 38221",Bedrooms: 9,Bathrooms: 7,800,€ 4900000
"Villa in Santa Eulalia Del Rio, Ibiza, Spain 5 bedrooms, 743 sq.m. No. 30788",Bedrooms: 5,Bathrooms: 6,743,€ 3600000
"Villa in Ibiza town, Ibiza, Spain 9 bedrooms, 1100 sq.m. No. 38217",Bedrooms: 9,Bathrooms: 8,1100,€ 14000000
"Villa on Ibiza, Spain No. 45325",N/A,N/A,N/A,€ 3995000
"Villa in Santa Eulalia Del Rio, Ibiza, Spain 5 bedrooms, 520 sq.m. No. 30790",Bedrooms: 5,Bathrooms: 5,520,€ 3100000
"Apartment in Ibiza town, Ibiza, Spain 2 bedrooms, 55 sq.m. No. 36019",Bedrooms: 2,Bathrooms: 1,55,€ 395000
"Villa on Ibiza, Spain 5 bedrooms, 340 sq.m. No. 45307",Bedrooms: 5,Bathrooms: 4,340,€ 2500000
"Villa in Santa Eulalia Del Rio, Ibiza, Spain 5 bedrooms, 676 sq.m. No. 47622",Bedrooms: 5,Bathrooms: 5,676,€ 3800000
"Villa on Ibiza, Spain 5 bedrooms, 450 sq.m. No. 45314",Bedrooms: 5,Bathrooms: 5,450,€ 5250000
"Villa on Ibiza, Spain 4 bedrooms, 320 sq.m. No. 45306",Bedrooms: 4,Bathrooms: 4,320,€ 1119000
"Villa in Santa Eulalia Del Rio, Ibiza, Spain 6 bedrooms, 572 sq.m. No. 47623",Bedrooms: 6,Bathrooms: 8,572,€ 5500000
"Villa on Ibiza, Spain 5 bedrooms, 226 sq.m. No. 45326",Bedrooms: 5,Bathrooms: 3,226,€ 1690000
"Cap Martinet in Puig Manya, Ibiza, Spain No. 50476",N/A,N/A,N/A,Sold out
"White Angel on Ibiza, Spain No. 50535",N/A,N/A,N/A,Sold out
"Luxury Villas Roca Llisa in Santa Eulalia Del Rio, Ibiza, Spain No. 50534",N/A,N/A,N/A,Sold out
"Villa in La Caleta, Ibiza, Spain 5 bedrooms,  No. 55008",Bedrooms: 5,Bathrooms: 6,N/A,€ 1795000
"Apartment in Playa d'en Bossa, Ibiza, Spain 3 bedrooms, 105 sq.m. No. 65634",Bedrooms: 3,Bathrooms: 2,105,€ 525000
"Apartment in Ibiza town, Ibiza, Spain 2 bedrooms, 95 sq.m. No. 82654",Bedrooms: 2,Bathrooms: 2,95,€ 575000
"Villa in Can Furnet, Ibiza, Spain 6 bedrooms, 650 sq.m. No. 65637",Bedrooms: 6,Bathrooms: 6,650,€ 6800000
"Apartment in Sant Josep de sa Talaia, Ibiza, Spain 2 bedrooms, 68 sq.m. No. 82670",Bedrooms: 2,Bathrooms: 1,68,€ 356000
"Apartment in Ibiza town, Ibiza, Spain 2 bedrooms, 111 sq.m. No. 82667",Bedrooms: 2,Bathrooms: 2,111,€ 493000
"Penthouse in La Caleta, Ibiza, Spain 2 bedrooms, 108 sq.m. No. 82631",Bedrooms: 2,Bathrooms: 2,108,€ 760000
"Villa in Sant Josep de sa Talaia, Ibiza, Spain 5 bedrooms, 430 sq.m. No. 82684",Bedrooms: 5,Bathrooms: 6,430,€ 8500000
"Villa in Ibiza town, Ibiza, Spain 3 bedrooms, 188 sq.m. No. 65731",Bedrooms: 3,Bathrooms: 2,188,€ 2650000
"Villa in Cala de Bou, Ibiza, Spain 5 bedrooms, 1177 sq.m. No. 65626",Bedrooms: 5,Bathrooms: 4,1177,€ 3700000
"Townhouse in Ibiza town, Ibiza, Spain 3 bedrooms, 187 sq.m. No. 82683",Bedrooms: 3,Bathrooms: 3,187,€ 990000
"Penthouse in Ibiza town, Ibiza, Spain 3 bedrooms, 90 sq.m. No. 84438",Bedrooms: 3,Bathrooms: 2,90,€ 590000
"Penthouse in Santa Eulalia Del Rio, Ibiza, Spain 3 bedrooms, 212 sq.m. No. 84084",Bedrooms: 3,Bathrooms: 2,212,€ 780000
"Apartment in Santa Eulalia Del Rio, Ibiza, Spain 3 bedrooms, 120 sq.m. No. 83911",Bedrooms: 3,Bathrooms: 2,120,€ 590000
"Finca in San Antonio De Portmany, Ibiza, Spain 555 sq.m. No. 82659",N/A,N/A,555,€ 1450000
"Apartment in Sant Josep de sa Talaia, Ibiza, Spain 3 bedrooms, 118 sq.m. No. 82662",Bedrooms: 3,Bathrooms: 2,118,€ 530000
"Apartment in Santa Eulalia Del Rio, Ibiza, Spain 2 bedrooms, 103 sq.m. No. 89278",Bedrooms: 2,Bathrooms: 2,103,€ 495000
"Villa in La Caleta, Ibiza, Spain 4 bedrooms,  No. 84137",Bedrooms: 4,Bathrooms: 4,N/A,€ 4300000
"Villa in Santa Eulalia Del Rio, Ibiza, Spain 3 bedrooms, 108 sq.m. No. 82660",Bedrooms: 3,Bathrooms: 1,108,€ 650000
"Finca in San Antonio De Portmany, Ibiza, Spain 1041 sq.m. No. 82658",N/A,N/A,1041,€ 1700000
"Duplex in Santa Eulalia Del Rio, Ibiza, Spain 3 bedrooms, 138 sq.m. No. 82677",Bedrooms: 3,Bathrooms: 3,138,€ 1695000
"Penthouse in Ibiza town, Ibiza, Spain 4 bedrooms, 280 sq.m. No. 75070",Bedrooms: 4,Bathrooms: 4,280,€ 3240000
"Apartment in Ibiza town, Ibiza, Spain 3 bedrooms, 98 sq.m. No. 65628",Bedrooms: 3,Bathrooms: 2,98,€ 490000
"Townhouse in Ibiza town, Ibiza, Spain 3 bedrooms, 118 sq.m. No. 87694",Bedrooms: 3,Bathrooms: 2,118,€ 490000
"Villa in Sant Josep de sa Talaia, Ibiza, Spain 5 bedrooms,  No. 65627",Bedrooms: 5,Bathrooms: 4,N/A,€ 2750000
"Townhouse in Sant Josep de sa Talaia, Ibiza, Spain 4 bedrooms, 149 sq.m. No. 87702",Bedrooms: 4,Bathrooms: 3,149,€ 530000
"Apartment in Santa Eulalia Del Rio, Ibiza, Spain 2 bedrooms, 138 sq.m. No. 90084",Bedrooms: 2,Bathrooms: 1,138,€ 375000
"Villa in La Caleta, Ibiza, Spain 5 bedrooms, 732 sq.m. No. 87303",Bedrooms: 5,Bathrooms: 4,732,€ 4990000
"Penthouse in San Antonio De Portmany, Ibiza, Spain 1 bedroom, 44 sq.m. No. 90135",Bedrooms: 1,Bathrooms: 1,44,€ 335000
"Apartment in Ibiza town, Ibiza, Spain 2 bedrooms, 112 sq.m. No. 90788",Bedrooms: 2,Bathrooms: 2,112,€ 900000
"Apartment in San Antonio De Portmany, Ibiza, Spain 2 bedrooms, 94 sq.m. No. 91222",Bedrooms: 2,Bathrooms: 2,94,€ 369000
"Can Espanyol in Santa Eulalia Del Rio, Ibiza, Spain No. 36952",N/A,N/A,N/A,Sold out
